Job Title,Job Experience Required,Key Skills,Role Category,Functional Area,Industry,Role
 SEO Executive,1 - 6 yrs, website| web analytics| xml| link building| google analytics| case studies| seo| social media| tracking| maintaining,Admin/Maintenance/Security/Datawarehousing,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Webmaster
 Workflow Coordinator,2 - 7 yrs, operations| workflow| tat| monitoring| mts| email,Operations,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Process Flow Analyst
Oracle IDAM, 3 - 7 Years,Oracle IDAM|OIM|OAM,Programming & Design,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer
 Looking Facebook /social Media Manager For our Digital Marketing Ageny,2 - 4 yrs, digital marketing| seo| social media marketing| content marketing| email marketing| sem| google analytics| campaign management| facebook| media management,Online/Digital Marketing,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Social Media Marketing Manager
 Wanted Engineering Fresher For MNC Chennai,0 - 1 yrs, instrumentation engineering| electrical engineering| Engineering| fresher| Trainee| immediate| Mechanical Engineering| electronics engineering| undergraduate,,Other,Other,Other
 Tooling &amp; Sampling,2 - 7 yrs, Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,Engineering Design,"Engineering Design , R&D","Industrial Products, Heavy Machinery",Senior Design Engineer
 Account Manager,3 - 7 yrs, Report Generation| Policies| analytical| procedures| Analysts| Data Entry| analytical skills,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Accounts Manager
 Magento Developer,2 - 7 yrs, Copyright| Email| jQuery| XML| Javascript| CakePHP| Customer service| Open source| Facebook| CSS3,Programming & Design,"IT Software - eCommerce , Internet Technologies","Textiles, Garments, Accessories",Software Developer
 Looking For Trained Freshers in MS Dynamics CRM- Hyderabad,0 - 3 yrs, C#| MS Dynamics CRM| Microsoft Dynamics| ms dynamics,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Job Openings Kotak Life/ Max Life/ Aditya Birla Health for Sales Mgr,3 - 7 yrs, sales manager| business development manager| relationship manager| brokers| insurance sales| channel sales| direct sale| direct marketing| sales| Marketing Executive| Territory Sales Manager,Retail/Personal Banking,"Financial Services , Banking , Investments , Insurance",Insurance,Sales Officer
 Business Development / Corporate Sales,0 - 4 yrs, lead generation| business development| corporate sales,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
 Business Development Manager (BDM),2 - 5 yrs, contract management| closing| it services| relationship building| managed services| selling| market research| business development manager| sales,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
 QA Executive,2 - 5 yrs, QA Executive,QA/Testing/Documentation,IT Software - QA & Testing,"Pharma, Biotech, Clinical Research",Quality Assurance/Quality Control Executive
 Back End Java Developer - Restful Services/soap,6 - 8 yrs, Java EE| JMS| Core Java| JUnit| Weblogic| HTML| JPA| JSON| SOAP| SQL,Programming & Design,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer
 Product Engineer,4 - 9 yrs, Conceptualization| Architecting| Continuous improvement| SIDE| development| Front end| it,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Opening For Articulate tool Developer - Articulate / Captivate)chennai,3 - 5 yrs, Articulate Storyline,Programming & Design,"IT Software - Application Programming , Maintenance","Animation, Gaming",Graphic/Web Designer
 Urgent Hiring for Area Sales Manager,7 - 12 yrs, Area Sales Management| Retail Sales| FMCG| Chocolate| confectionary| ASM| Area Sales Manager| area business manager,Retail Sales,"Sales , Retail , Business Development","FMCG, Foods, Beverage",Area Sales Manager
 Software Engineer - C++ Development - Ooad/oops,4 - 9 yrs, C#| Java| OOP| C++| Multithreading| UML| OOAD| OOPS| .Net| debugging,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Linux Administrator Lead,5 - 10 yrs, qmail| workflow| nagios| windows server| networking| mysql| monitoring| redhat| maintaining| centos,Admin/Maintenance/Security/Datawarehousing,"IT Software - Network Administration , Security","IT-Software, Software Services",System Administrator
 Hiring for Tech Pm/scrum Master for Hyderabad Location,8 - 10 yrs, Java| JPA| Hibernate| Project Management| JDBC| Scrum Master| Microservices| Agile| SOAP| Rest,Project Management,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Project Manager-IT/Software
 Assistant Professor (Grade I)-Theoretical Computer Science,3 - 5 yrs,vide,,"Teaching , Education , Training , Counselling","Education, Teaching, Training",
 US Based Financial Company Looking For Java API Engineers For HYD,6 - 8 yrs, Java| java api| Banking| j2ee| API| finance| core java| microservices,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Strong Partner Ecosystem,2 - 7 yrs, GIS| ISO 27001| HR| information system| process| ISO 9001| Information security management| GIS software| Management| Edge,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Project Lead
 Wordpress Web Developer,3 - 6 yrs,vide,Programming & Design,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
 Senior Executive- Contract Logistics- Bom WP-A,2 - 5 yrs, Administration| Administrative Support| Contract Logistics| Staff Development| Site Management| Quality Improvement| warehousing| Warehouse Operations,Logistics,Purchase / Logistics / Supply Chain,"Courier, Transportation, Freight , Warehousing",Logistics Executive
 Accounts Manager,2 - 3 yrs, filing| tds| service industry| pf| esi| returns| coaching| payroll| invoice| tally,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Security, Law Enforcement",Accounts Executive/Accountant
 Technical Sales Executive with fixed pay & lucrative incentives/UK Inb,0 - 3 yrs, Outbound| Antivirus| Technical support| Sales| Spot| Inbound calls| pay| Medical| Comp,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 nutanix sme ,15 - 20 yrs, Troubleshooting| DNS| DHCP| Monitoring| Virtualization| Shell scripting| Python| VMS| Open source| Archiving,Technical Support,"IT Hardware , Technical Support , Telecom Engineering","IT-Software, Software Services",Technical Support Manager
 System Architect - 3g/4g Wireless Network Architecture & Migration,10 - 16 yrs, 4G| 3GPP| 3G| System Architect| LTE| Radio Access Network| PhD| IEEE,Programming & Design,"IT Software - Network Administration , Security","IT-Software, Software Services",Technical Architect
"Excellent Opportunity For ” Linux Device Driver ” ,for Hyderabad and Ban", 2 - 7 Years,arm processor|c|device drivers|embedded linux|linux kernel|ipc,Programming & Design,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer
 Java Developer,6 - 8 yrs, JMS| Core Java| Sonar| Weblogic| XML| J2Ee| SVN| Spring| Oracle 11G| SQL,,Other,Other,Other
 Regional Representative,0 - 3 yrs, market| presentation| strong analytical skills| english| presentation skills| developing| customer interaction,Institutional Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
 Hiring For Record To Report,1 - 4 yrs, fixed assets| accounts payable| record to report| general accounting| general ledger,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 Product & Regional Sales Manager,3 - 6 yrs, Team management| Regional sales| Management,Retail Sales,"Sales , Retail , Business Development","Strategy, Management Consulting Firms",Regional Manager
 Senior Manager/associate Director - Mandarin,10 - 15 yrs, Commercial Activities| Commercial Sales| Online Sales| Senior Management| Budgeting| Strategy Implementation| Marketing| E - commerce,Senior Management,"Sales , Retail , Business Development","Internet, Ecommerce",Head / VP/ GM/ National Manager After Sales
 ODI Developer/lead ODI Developer - RACI,5 - 10 yrs, ODI| Matrix,Programming & Design,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer
 UI Developer,2 - 4 yrs, javascript| sql| php| php mysql| css| software development| technical| photoshop| mca| ajax| jquery| application| web| design| mysql| html,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Assistant Manager ,5 - 8 yrs, Relationship management| Relationship building| Client relationship| Training| Analytical skills| Process mapping| Standard operating procedures| Agile| Management| Visa processing,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training",Associate/Senior Associate -(NonTechnical)
 Android Developer,2 - 5 yrs, android| btech| iphone| server| analytical| developing| ios| platforms| objective c| web| xml| design| json| programming| development| c| testing| mobile| xcode| application development| eclipse| application| sdk| applications,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 International BPO / Non Voice Process / Rotational Shift / Ahmedabad,1 - 4 yrs, cca| bpo| csr| international bpo| customer service| outbound process| customer care| tourism| customer support| fresher| voice process| inbound process| cse| bpo fresher| voice support| hotel| travel,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 iOS Developer,2 - 5 yrs, bca| graphics| application development| b tech| core| b sc| application| b e| ios| publishing| animation,Programming & Design,IT Software - Mobile,"IT-Software, Software Services",Software Developer
 F&A Black belt - Process Excellence Lead,8 - 13 yrs, Accounting| Continuous Improvement| Process Improvement| Load Balancing| Lean Six Sigma| Black Belt| Training| Green Belt| Process re - engineering| Process Excellence| Business Excellence| OTC,Back Office/Web/Transaction Processing,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Team Leader -(NonTechnical)
 IT - Head (preferably from an NGO),15 - 20 yrs, networking| information technology| network administration| technical support| support services| license management| disaster recovery| data security| it training| it software,,Other,"NGO, Social Services, Regulators, Industry Associations",Other
 Digital Content Producer For largest Media House,3 - 8 yrs, Automobile| Digital Content| Content Development| Production| Web Content Writing,Content Development,"Journalism , Editing , Content","Media, Entertainment, Internet",Content Developer
 Manager Holidays,6 - 10 yrs, Tourism| target achievement| negotiation skills| revenue management| Tour Packages,Retail Sales,"Sales , Retail , Business Development","Aviation, Aerospace, Aeronautical",Sales/Business Development Manager
 Backend Developer,1 - 5 yrs, PHP| Networking| Data structures| HTTP| JSON| Software design| Computer science| System design| Backend| Ticketing,Programming & Design,"IT Software - Application Programming , Maintenance","Internet, Ecommerce",Software Developer
 JUNIOR BIG DATA ANALYST IN,1 - 3 yrs,vide,Operations,"ITES , BPO , KPO , LPO , Customer Service , Operations","Recruitment, Staffing",Business/EDP Analyst
 Chief Engineer,11 - 15 yrs, Chief Engineer| Hospitality| HVAC| Maintenance| Water Treatment| Energy Conservation| Capital Expenditure,,Top Management,"Travel , Hotels , Restaurants , Airlines , Railways",CEO/MD/Director
 Oracle DBA Consultant - Data Guard/rac Modules,2 - 5 yrs, WebLogic| configuration| MySQL| installation| Oracle DBA| troubleshooting| Oracle RAC,Admin/Maintenance/Security/Datawarehousing,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",DBA
 Global HR Operations Analyst,1 - 4 yrs, Service level| Data management| HR Coordinator| Management audit| HR operations| Human resource management,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Industrial Products, Heavy Machinery",HR Executive
 Compiler- Support Engineer,5 - 10 yrs, Graphics| C++| Windows OS| Linux| high performance computing| Test cases| System software| Gaming| FreeBSD,Programming & Design,"IT Software - Application Programming , Maintenance","Telcom, ISP",Software Developer
 Key Accounts Manager,0 - 0 yrs,vide,Advertising,"Marketing , Advertising , MR , PR , Media Planning","Telcom, ISP",Client Servicing/Key Account Manager
 Head Sales- Coworking Company,7 - 12 yrs, Sales| Team Building| Strategic Leadership| Real Estate| Field Sales| Sales Strategy| Enterprise Business| Go - to - market Strategy| Enterprise sales| Sales Executive Activities| Marketing,Senior Management,"Sales , Retail , Business Development","Real Estate, Property",Head/VP/GM/National Manager -Sales
" Clubhouse Manager, Facility Manager,",2 - 5 yrs, Facility Management| facility services,Health & Fitness,Beauty / Fitness / Spa Services,Facility Management,Centre Head / Branch Head / Club Manager
 IP DRG / Surgery / ED / Denials Coders,1 - 5 yrs, sds| radiology| CPT| icd - 10| EM| medical coding| coders| surgery| ed,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 Sales Manager - Education Sales,5 - 7 yrs, Market analysis| Public relations| CV| Relationship building| Market intelligence| Prospecting| Budgeting| Sales process| Branding,Retail Sales,"Sales , Retail , Business Development","Recruitment, Staffing",Sales/Business Development Manager
 HR Associate,0 - 2 yrs, ERP| MIS| Succession Planning| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","IT-Software, Software Services",HR Executive
 Manager / Sr Manager - Digital Ad Sales - Ecommerce,4 - 9 yrs, revenue generation| marketing| ad sales| web technologies,Corporate Sales,"Sales , Retail , Business Development","Internet, Ecommerce",Sales/Business Development Manager
 Architect Junior/ Middle level,1 - 2 yrs, co ordination| team management| drafting| loans| online| coordination| quality,Architectural Services,"Architecture , Interior Design","BPO, Call Centre, ITeS",Project Architect
 php developer,3 - 4 yrs, English| PHP| XML| DOM| SOAP| Com| Web technologies| Written communication| Email| Time,Programming & Design,IT Software - Other,"Recruitment, Staffing",Software Developer
 Openstack Engineer / Openstack Admin with Ceph Storage,6 - 11 yrs, cloud| puppet| python| git| KVM| linux| jenkins| openstack| ansible,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",System Analyst
 Sr. Software Engineer,4 - 8 yrs, National| Branch| Vice President| J2Ee| Software,Programming & Design,"IT Software - Application Programming , Maintenance","Strategy, Management Consulting Firms",Software Developer
 Software Engineering- Mentor,1 - 5 yrs, Mentor| Android| Consulting| Usage| development| software| mobile| it| SIDE| Front end| Web technologies| Coding| web| backend| Open source| programming| Investment,Programming & Design,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Software Developer
 Application Tester,3 - 8 yrs, Performance Testing| Software Testing| Manual Testing| Quality Testing,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Testing Engineer
 Credit Control - Manager / Asst. Manager,3 - 5 yrs, Pivot Table| Credit Analysis| Tally ERP| Accounting| VLOOKUP| Finance| Lookup| Advanced Excel| HLOOKUP| Credit Control,,Other,"Travel , Hotels , Restaurants , Airlines , Railways",Other
 Night Shift - Non Voice / Web Chat - BPO,0 - 5 yrs, international bpo| bpo| kpo| web chat| non voice process| e mail| international call center| customer service representative| cse| interpersonal skills| ites| uk shift| customer service| e - commerce| customer care| customer support| bpo fresher,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 Sales Executive,2 - 4 yrs, Innovative| Aggressive,Front Office/Customer Care,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Front Office/Guest Relations Executive/Manager
 Design Engineer Mechanical,7 - 12 yrs, Communication Skills| Detail Engineering| Material Handling| AutoCAD| Detailing| Design Engineering| Microstation| Bid Evaluation,Engineering Design,"Engineering Design , R&D","Oil and Gas, Energy, Power, Infrastructure",Design Engineer
 Android developer,1 - 3 yrs, design| android| erp| software| mvc| quality,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Technical Writer,4 - 7 yrs, Technical Writing| Technical Documentation| Articles| Writing Skills| Product Support,QA/Testing/Documentation,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Technical Writer
" Pro-Engineer , Matlab ,Ansys",3 - 7 yrs, Ansys| thermal| MATLAB| System design| Recruitment| MCCB| Electricals,Engineering Design,"Engineering Design , R&D","Recruitment, Staffing",Design Engineer
 Business Development Executive - Kolkata,2 - 6 yrs, Product placement| Market research| Distributor handling| Business Development Executive| Customer service| Customer Service Executive| Secondary sales| Supervision,Retail Sales,"Sales , Retail , Business Development","Textiles, Garments, Accessories",Sales/Business Development Manager
 Accountant - UK Based Accounting,1 - 6 yrs, Management accounting| Accounting| VAT| Book Keeping| SAGE| Tax returns,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Accounts Executive/Accountant
 Opportunity For Current Account RM ||bank || Delhi,2 - 7 yrs, Trade| Forex Trading| Forex| fx| Lead Generation| Accounting| Banking| Revenue Generation| Current Account,Retail Sales,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales/Business Development Manager
 PHP Developer,1 - 5 yrs, XML| Javascript| PHP| development| css| technical| analytical| software| testing| HTML| tools| Joomla| coding| jQuery| web| MySQL| Wordpress| design| XHTML| debugging| Ajax,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Senior Engineering Maintenance Manager For Knitting and ZLD System,12 - 22 yrs, zld| Engineering Management| knitting,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Textiles, Garments, Accessories",Engineering Manager
 Accounting Specialist,0 - 3 yrs, Analyst| ERP| Change management| Business objects| Managed services| Business process mapping| Executive management| Data mining| oracle project accounting| Testing,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Accounts Executive/Accountant
 Manager (Service Operation),8 - 12 yrs, ERP| Succession Planning| MIS| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Construction, Engineering, Cement, Metals",Training Manager
 DevOps Engineer Intern,0 - 1 yrs, Intern| Linux| Windows| Unix| DNS| C++| Perl| IIS| Redhat| HTTP,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 PHP Developer (wordpress & Woo Commerce/shopify / Magento),2 - 5 yrs, C| Woocommerce| Magento| Wordpress| MySQL| PHP| Shopify| JQuery| Web Development| Ajax,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Java Developer,1 - 2 yrs, CSS| Singleton| XML| Javascript| JDBC| Struts| JSON| HTML| Spring Boot| JQuery,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Sr. Manager- Business Development,15 - 22 yrs, Business Development Management| Bd| Marketing| business development| Projects| business development manager| bdm| Tendering| Proposal,Corporate Sales,"Sales , Retail , Business Development","Construction, Engineering, Cement, Metals",Sales/Business Development Manager
 Test Principal Engineer,8 - 10 yrs, Ethical Hacking| Certified Ethical Hacker| Networking Protocols| Penetration Testing| Nessus| NMAP| Fortify| Vulnerability Assessment| Appscan| Qualys,Programming & Design,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer
 Graphic Designer,2 - 7 yrs, Graphic designing| Graphics| adobe creative suite| Architecture| MS Office| Business Executive,Creative,"Design , Creative , User Experience","Architecture, Interior Design",Graphic Designer
 Business Development Executive,1 - 3 yrs, Payment collection| Costing| Business Development Executive| Lead generation| Sales| Vendor| Cost,Corporate Sales,"Sales , Retail , Business Development","Recruitment, Staffing",Sales Executive/Officer
 Animation Resident,2 - 6 yrs, Internship| Digital marketing| Social media| Relationship building| Animation| Creative| Indesign| Business Executive| Presentation skills| Senior,Advertising,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Client Servicing Executive
Enterprise Business Development Representative, 1 - 3 Years,market penetration|marketing|customer satisfaction|enterprise business|web technologies|business development|strategy|aws|sales,Channel Sales,"Sales , Retail , Business Development",IT-Software / Software Services,Sales Executive / Officer
 Dot Net Developer,2 - 5 yrs, jquery| git| microsoft sql server| net asp net| software| testing| ado.net| microsoft| tools| sql| unit tests| database| application| web| design| .net| object oriented programming| support| programming,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
" Urgent Opening for ""US Staffing Professionals"" - Noida",1 - 5 yrs, technical recruitment| us staffing| us recruitment| us recruiter| us it staffing| technical recruiter| it recruiter| recruiter| w2| c2c| talent acquisition| recruitment| staffing| sourcing,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive
 Front Office Executive-Noida,1 - 2 yrs, Front Office Executive,,"Executive Assistant , Front Office , Data Entry","Recruitment, Staffing",Receptionist
 Project Executive/coordinator,2 - 4 yrs, Project Administration| Coordination,Sales Support,"Sales , Retail , Business Development","Industrial Products, Heavy Machinery",Sales Coordinator
 Sterling OMS Architect,5 - 10 yrs, Order Management system| Sterling Commerce| Sterling| OMS| Sterling Integrator| ecommerce| E - commerce,System Design/Implementation/ERP/CRM,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Solution Architect / Enterprise Architect
 Dot net Developer,3 - 5 yrs, analytical| documentation| web development| algorithms| development| javascript| sql server| jquery| database| web| flex| design| mysql| net,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Centreless Grinding Operator ,4 - 8 yrs, NCTVT,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Internet, Ecommerce",Workman/Foreman/Technician
 PHP Developer Jobs In Gurgaon - Team Lead - PHP,8 - 13 yrs, Drupal| Application programming| MySQL| Wordpress| PHP| CakePHP| Team Leader| MVC| Zend| Software services,Programming & Design,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
 Sales Lead,3 - 7 yrs, Outbound| Sales| Project management| Analytical| Sales Lead| Automation tools| Sales process| marketing automation,Retail Sales,"Sales , Retail , Business Development","Internet, Ecommerce",Sales Executive/Officer
 Clerk - Garh Shankar (Vacancy-1),Not Mentioned,vide,,"Executive Assistant , Front Office , Data Entry","Government, Defence",
 Senior Design Engineer - Manufacturing,6 - 8 yrs, AutoCAD| 3D Modeling| FMEA| Mechanical Engineering| Mechanical Design| SolidWorks,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Design Engineer/Manager
 Software Engineer Automation - Industrial Automation Job In Bangalore,3 - 5 yrs, Automation Engineer,Engineering Design,"Engineering Design , R&D","Industrial Products, Heavy Machinery",Technical Lead/Project Lead
 Looking For Assistant Manager - Healthcare (US Visa is Must),5 - 10 yrs, Revenue Cycle Management| US Healthcare| Payment Posting| Medical Billing| Medical Coding| us visa| Team Leading Skills| Healthcare| Denial Management| RCM,Back Office/Web/Transaction Processing,"ITES , BPO , KPO , LPO , Customer Service , Operations","Medical, Healthcare, Hospitals",Team Leader -(NonTechnical)
 Senior Accounts Executive,4 - 8 yrs,vide,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Accounts Executive/Accountant
 QA for Voice Process (LE-0097-N1C),2 - 6 yrs, Voice process| qaqc| Writing| Process operations| Verbal,Quality,"ITES , BPO , KPO , LPO , Customer Service , Operations","Internet, Ecommerce",Quality Assurance/Quality Control Executive
" Senior Resident - Obs. & Gynae, Max Hospital, Gurgaon",0 - 3 yrs, Patient Care| Nursing| People Orientation| Report Generation| Service Quality| Disaster Management| Customer Care| Medical| Process Orientation,,Other,"Medical, Healthcare, Hospitals",Other
 Manager/senior Manager- Analytics- Life & Annuities - Insurance Domain,4 - 9 yrs, Predictive Modeling| SAS| Data Management| Data Mining| Tableau| Data Analytics| Statistics| Analytics| SQL| Python,Analytics & BI,Analytics & Business Intelligence,"IT-Software, Software Services",Analytics Manager
 Executive Medical Coder,0 - 0 yrs, molecular biology| chemistry| biotechnology| bhms| biology| Physiotherapy| microbiology| nursing| biomedical| Physics| medical coding| biochemistry| pharmacy| Ophthalmology| micro biology| Bioinformatics| zoology| biotech,Other,"ITES , BPO , KPO , LPO , Customer Service , Operations","Medical, Healthcare, Hospitals",Trainee
 Account Assistant,3 - 5 yrs, accounts executive| accountant| Stock Management| gst| auditing| Statutory Compliance| accounting| Account Assistant| Bank Reconciliation| tax audit| banking| monthly reports| Payroll| salary processing| income tax| Income Tax Return| taxation,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Architecture, Interior Design",Accounts Executive/Accountant
 Informatica Faculty Job Requirement in Hyderabad,1 - 6 yrs, Informatica Power Center| Informatica,Programming & Design,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer
 SEO Expert/ Digital Marketing Gurgaon,2 - 4 yrs, digital marketing| seo specialist| advertising agency| online marketing| seo| seo expert| facebook marketing,Online/Digital Marketing,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Search Engine Optimisation /SEO Specialist
 Head Engineering,5 - 10 yrs, Validation| Installation| Breakdown Maintenance| Industrial Safety| gmp| Boiler| Design| HVAC| Gensets| Air Compressor| Breakdown| RO| who,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Pharma, Biotech, Clinical Research",Engineering Manager
 Business Development Executive,5 - 10 yrs, Forecasting,Finance/Audit,"Accounts , Finance , Tax , Company Secretary , Audit","Oil and Gas, Energy, Power, Infrastructure",Financial Analyst
 PPC Executive,3 - 7 yrs, Pay Per Click| Google AdWords| Search Engine Marketing| PPC| SEM| Google Analytics| Website Analysis| Yahoo| Web Analytics| Marketing Initiatives,Online/Digital Marketing,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",PPC /Pay Per Click Specialist
 Opening For the post of Mr/territory Business Manager in An Pharma,0 - 2 yrs, marketing officer| pharma sales| Marketing Representative| marketing executive| pharma marketing| sales officer| sales representative| business development executive| Fresher| trainee| sales executive,Retail Sales,"Sales , Retail , Business Development","Pharma, Biotech, Clinical Research",Medical Representative
 Deputy Manager - Program Management,2 - 6 yrs, Project management| PPAP| Automotive| External audit| Conflict resolution| Resource mobilization| PFMEA| Risk management| Project life cycle,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Project Manager-Production/Manufacturing/Maintenance
